given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id,cluster_id
mitchell,green,7.0,wallaby place,delmar,cleveland,2119,sa,19560409.0,1804974,74463,1
harley,mccarthy,177.0,pridhamstreet,milton,marsden,3165,nsw,19080419.0,6089216,60733,2
madeline,mason,54.0,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,19081128.0,2185997,64831,3
isabelle,,23.0,gundulu place,currin ga,utakarra,2193,wa,19921119.0,4314184,12416,4
taylor,hathaway,7.0,yuranigh court,brentwood vlge,,4220,nsw,19991207.0,9144092,81570,5
toby,webb,6.0,kent street,kersey' south,towradgi,3107,nsw,19940503.0,1232838,36546,6
harry,stubs,,mountain creek road,,eaton,7310,vic,19721113.0,8317467,74668,7
lydia,mccattmhy,32.0,mckillop ecircuit,telemon orchards,corio,4670,nsw,19751220.0,1835068,39317,8
hollie,lillie-hinrichs,27.0,hemmings crescent,kilvintonvillage,banyo,4030,,19251130.0,4920253,14518,9
dylan,zilm,17.0,blameycrescent,condinup,wattle glen,4211,vic,19671229.0,4892623,28203,10
,donaldson,14.0,manity court,pacific terraces,charmhaven,3101,vic,19940825.0,9817986,18726,11
isabella,vincent,16.0,wilshiredstreet,erinsavle,rose ay,6207,vic,19760517.0,8693348,19093,12
connor,bishop,27.0,jarreah,mackinnon street,aspley,6052,,19200417.0,8871067,69817,13
connor,shepherd,39.0,burnage place,rowethorpe,winstonhills,3183,nsw,19320907.0,5731308,71409,14
natalia,gredn,358.0,macrossan crescent,newman medicajl centre,yagoona,2535,qld,19910111.0,3131587,75850,15
georgia,pettigrove,5.0,sinclair street,pinds,prairei,2478,nsw,19231019.0,9695933,9516,16
wilson,pitno,11.0,bousteadcircuit,jewells medical centre,granville,3161,qld,19971229.0,8930019,26266,17
andrew,klander,20.0,newman morris circuit,the willows,homebush,2285,vic,19761017.0,5392569,69936,18
tahni,skeen,11.0,macfarland crescent,,ryde,3220,,19231110.0,4111794,31924,19
kasey,millar,,burdekin avenue,crown allot,woollahra,4217,qld,19930714.0,7442486,20644,20
keziah,parr,20.0,clift crecent,bro okvale,murphys rceek,2761,nsw,19550103.0,3697304,37442,21
braecon,schuetz,122.0,howarth place,villa 19,alice springs,2028,vic,19440909.0,5276446,41948,22
nemesia,grifefn,10.0,derrington c rescent,hd curramulka,beechboro,2262,nsw,19870509.0,9760949,43797,23
,white,21.0,boobialla street,sheep s tation,carlingford,2830,qld,19241214.0,2042443,62094,24
quilliam,ashleigh,57.0,bedford s treet,rosall,surrey hills,6525,nsw,19460730.0,6408579,32542,25
jacqueline,daykin,21.0,mackie crescent,logan central plaza,pottsville beach,2213,qld,19510605.0,1615186,39008,26
amelia,benger,51.0,macalister crescent,,sippy downs,4110,nsw,19420909.0,8671640,13185,27
rily,gloster,24.0,farrerplace,,frankston,3178,nsw,19590124.0,2526809,66425,28
lily,thorpe,313.0,rivett place,thurlgona,mount gravatt,6104,wa,19310318.0,9216585,75888,29
lary,slape,11.0,lamington street,rosehe ll,albany creek,6020,wa,19010927.0,2204911,27492,30
joshua,linnell,2.0,lambrigg treet,craigie ela garden,rowville,3185,qld,19480511.0,7096343,29662,31
joshua,linnell,2.0,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511.0,7096343,80175,31
sophie,grubb,36.0,furphy place,mid city centre,cottles bridge,5091,qld,19230322.0,3779522,63332,32
john,slywka,33.0,gowrie court,boxwood vale,north ward,6014,tas,19590803.0,5011995,10546,33
alexandra,robson,4.0,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,19470726.0,5974014,27866,34
stella,chandler,50.0,ebden street,rosetta village,coffs harbour,6304,vic,19741215.0,8164610,9247,35
thomas,white,706.0,monaro crescent,birra billa,point lofsdale,2088,wa,19310818.0,5855559,30263,36
hannah,bloomfield,7.0,ferguson circuit,crown allotment,oakden,7253,nsw,19130806.0,1605711,51190,37
